"species";"lookup";"match"
"– S. canadensis L.Federmohn – Macleaya R";"Kanadische B. – S. canadensis L.Federmohn – Macleaya R";"Z s"
"– M. cordata (WILLD.) R. BR.1* StaubBl 8";"Weißer F. – M. cordata (WILLD.) R. BR.1* StaubBl 8";"Z s"
"– M. microcarpa (MAXIM.) FEDDE";"Ockerfarbiger F. – M. microcarpa (MAXIM.) FEDDE";"Z v"
". – G. squamigerum KAR. et KIR.";"Schuppiger H . – G. squamigerum KAR. et KIR.";NA
"– G. grandiflorum BOISS. et HUET";"Großblütiger H. – G. grandiflorum BOISS. et HUET";NA
". – G. corniculatum (L.) RUDOLPH";"Roter H . – G. corniculatum (L.) RUDOLPH";NA
"– D. lactucoides HOOK. f. et THOMSON";"Salat-D. – D. lactucoides HOOK. f. et THOMSON";NA
"– D. franchetianum (PRAIN) FEDDE2* B 2–3";"Franchet-D. – D. franchetianum (PRAIN) FEDDE2* B 2–3";"Z s"
"– D. leptopodum (MAXIM.) FEDDE";"Dünnstieliges D. – D. leptopodum (MAXIM.) FEDDE";"Z s"
"– E. californica CHAM.1* Bl grundständig";"Kalifornischer K., Schlafmützchen – E. californica CHAM.1* Bl grundständig";"Z v"
"– E. tenuifolia HOOK.";"Schmalblättriger K. – E. tenuifolia HOOK.";"Z s"
"– H. leptocarpum HOOK. f. et THOMSON1* K";"Dünnfrüchtige L. – H. leptocarpum HOOK. f. et THOMSON1* K";"Z s"
"– H. procumbens L.2* Äußere KrBl kürzer ";"Niederliegende L. – H. procumbens L.2* Äußere KrBl kürzer ";"Z s"
"– H. imberbe SM.";"Bartlose L. – H. imberbe SM.";"Z s"
"– D. chrysantha (HOOK. et ARN.) WALP.2* ";"Goldne H. – D. chrysantha (HOOK. et ARN.) WALP.2* ";"Z s"
"– D. spectabilis L. ";"Zweifarbige H., Tränendes Herz – D. spectabilis L. ";"Z v"
"– D. macrantha OLIV.";"Großblütige H. – D. macrantha OLIV.";"Z s"
"– D. peregrina (RUDOLPH) MAKINO4* BlSpre";"Fernöstliche H. – D. peregrina (RUDOLPH) MAKINO4* BlSpre";"Z s"
"– D. formosa (ANDREWS) WALP.";"Pazifische H. – D. formosa (ANDREWS) WALP.";"Z z"
"– D. eximia (KER GAWL.) TORR.";"Zwerg-H. – D. eximia (KER GAWL.) TORR.";"Z z"
"– D. canadensis (GOLDIE) WALP.7* B duftl";"Kanadische H. – D. canadensis (GOLDIE) WALP.7* B duftl";"Z s"
"– C. aitchisonii POPOVÄhnlich: Sewerzow-";"Aitchison-L. – C. aitchisonii POPOVÄhnlich: Sewerzow-";"Z s"
"– C. popovii POPOV";"Popow- L. – C. popovii POPOV";"Z s"
"– C. schanginii (PALL.) B. FEDTSCH. 1 Kr";"Karatau-L. – C. schanginii (PALL.) B. FEDTSCH. 1 Kr";"Z s"
"– C. bracteata (STEPH. ex WILLD.) PERS.";"Fingerblatt-L. – C. bracteata (STEPH. ex WILLD.) PERS.";"Z s"
"– C. nobilis (L.) PERS.";"Edler L. – C. nobilis (L.) PERS.";"Z s"
"– C. wilsonii N. E. BR.7* LaubBl grün  .";"Wilson-L. – C. wilsonii N. E. BR.7* LaubBl grün  .";NA
"– C. saxicola G. S. BUNTING8* LaubBl far";"Felsen-L., Wiesenrauten-L. – C. saxicola G. S. BUNTING8* LaubBl far";NA
"– C. cheilanthifolia HEMSL.9 (3) B fleis";"Farnblättriger L. – C. cheilanthifolia HEMSL.9 (3) B fleis";"Z s"
"– C. cashmeriana ROYLE11* DeckBl eifg zu";"Kaschmir-L., Blauer Himalaja-L. – C. cashmeriana ROYLE11* DeckBl eifg zu";"Z s"
". – C. flexuosa FRANCH.";"Sichuan-L . – C. flexuosa FRANCH.";NA
". – P. alba (MILL.) LIDÉN";"Blassgelber Sch . – P. alba (MILL.) LIDÉN";NA
"– P. alba (MILL.) LIDÉN";"Gelber Sch. – P. alba (MILL.) LIDÉN";NA
"– R. africanus (LAM.) POMEL";"Afrikanischer F. – R. africanus (LAM.) POMEL";NA
"– A. californica (NUTT.) HOOK. et ARN.Mo";"Kalifornischer E. – A. californica (NUTT.) HOOK. et ARN.Mo";"Z s"
", Gewöhnlicher M., Entenfuß – P. peltatu";"Amerikanischer M. , Gewöhnlicher M., Entenfuß – P. peltatu";NA
"– S. chinensis (LOUR.) BAILL.";"Asiatischer M. – S. chinensis (LOUR.) BAILL.";NA
"– S. henryi OLIV.";"Chinesische U. – S. henryi OLIV.";"Z s"
"– A. arifolium MICHX.Ähnlich: Schönblätt";"Arumblättrige H. – A. arifolium MICHX.Ähnlich: Schönblätt";"Z s"
"– A. shuttleworthii BRITTEN et BAKER f.";"Shuttleworth-H. – A. shuttleworthii BRITTEN et BAKER f.";NA
"– A. virginicum L.4 (1) BlOSeite stets w";"Virginische H. – A. virginicum L.4 (1) BlOSeite stets w";"Z s"
"– A. hartwegii S. WATSON4* BlOSeite stet";"Hartweg-H. – A. hartwegii S. WATSON4* BlOSeite stet";"Z s"
"– A. europaeum L.";"Europäische H. – A. europaeum L.";"Z z"
"– A. caudatum LINDL.";"Geschwänzte H. – A. caudatum LINDL.";"Z s"
"– A. clematitis L.";"Gewöhnliche O. – A. clematitis L.";"Z s"
"– A. rotunda L.";"Knollige O., Rundblättrige O. – A. rotunda L.";"Z s"
"– A. macrophylla LAM.";"Amerikanische P. – A. macrophylla LAM.";"Z z"
"– A. tomentosa SIMS";"Filzige P. – A. tomentosa SIMS";"Z z"
"– A. moupinensis FRANCH.";"Chinesische P. – A. moupinensis FRANCH.";"Z s"
"– A. manshuriensis KOM.";"Mandschurische P. – A. manshuriensis KOM.";"Z s"
"– L. nobilis L.";"Gewürz-Lorbeer, Lorbeerbaum – L. nobilis L.";"Z z"
"– H. lupulus L.Ähnlich: Japanischer Hopf";"Gewöhnlicher H. – H. lupulus L.Ähnlich: Japanischer Hopf";"Z s"
"(subsp. indica(LAM.) SMALL et CRONQUIST)";"Opium-Hanf (subsp. indica(LAM.) SMALL et CRONQUIST)";"Z s"
"– U. urens L.";"Kleine B. – U. urens L.";"N s"
"– U. dioica L.";"Große B. – U. dioica L.";"N s"
"– Ph. americana L.1* StaubBl 8(–9). FrBl";"Amerikanische K. – Ph. americana L.1* StaubBl 8(–9). FrBl";"Z z"
"– Ph. acinosa ROXB.";"Asiatische K. – Ph. acinosa ROXB.";"Z z"
"– A. cordifolia (L. f.) SCHWANTES";"Herzblättrige A. – A. cordifolia (L. f.) SCHWANTES";"Z z"
"– M. crystallinum L.";"Kristall-E. – M. crystallinum L.";"Z s"
"– D. bellidiformis (BURM. f.) N. E. BR.1";"Garten-M., Gänseblumenartige M. – D. bellidiformis (BURM. f.) N. E. BR.1";"Z v"
"– D. clavatus (HAW.) STRUCK";"Keulenförmige M. – D. clavatus (HAW.) STRUCK";"Z s"
"– C. pomeridiana (L.) N. E. BR.";"Nachmittagsblütige C. – C. pomeridiana (L.) N. E. BR.";"Z s"
"– D. aberdeenense (L. BOLUS) L. BOLUS";"Aberdeen-D. – D. aberdeenense (L. BOLUS) L. BOLUS";"Z s"
"– D. sutherlandii (HOOK. f.) N. E. BR. Ä";"Sutherland-D. – D. sutherlandii (HOOK. f.) N. E. BR. Ä";"Z s"
"– L. roseus (WILLD.) SCHWANTES";"Rosablütiger L. – L. roseus (WILLD.) SCHWANTES";"Z v"
"– L. conspicuus (HAW.) N. E. BR.";"Ansehnlicher L. – L. conspicuus (HAW.) N. E. BR.";"Z v"
"– O. fragilis (NUTT.) HAW.2* Pfl strauch";"Zerbrechlicher F. – O. fragilis (NUTT.) HAW.2* Pfl strauch";"Z s"
"– O. imbricata (HAW.) DC.";"Dachziegelartiger F. – O. imbricata (HAW.) DC.";"Z s"
"– O. humifusa (RAF.) RAF.";"Niederliegender F. – O. humifusa (RAF.) RAF.";"Z s"
"– O. phaeacantha ENGELM.4* Reife Fr troc";"Braundorniger F. – O. phaeacantha ENGELM.4* Reife Fr troc";"Z s"
"– O. polyacantha HAW.";"Vielstachliger F. – O. polyacantha HAW.";"Z s"
"– O. erinacea ENGELM. et J. M. BIGELOW";"Igelartiger F. – O. erinacea ENGELM. et J. M. BIGELOW";"Z z"
"– M. longiflora L.";"Langröhrige W. – M. longiflora L.";"N s"
"– A. umbellata LAM.";"Doldige A., Rosafarbene Sandverbene – A. umbellata LAM.";"Z s"
"– C. candidissimum CORRENS: Haare sternf";"Reinweißes H. – C. candidissimum CORRENS: Haare sternf";"Z v"
"– C. grandiflorum WALDST. et KIT.";"Großblütiges H. – C. grandiflorum WALDST. et KIT.";"Z z"
"– A. tetraquetra L.";"Vierkantiges S. – A. tetraquetra L.";"Z z"
"– A. purpurascens RAMOND ex DC.";"Rosa S. – A. purpurascens RAMOND ex DC.";"Z z"
"– A. grandiflora L.";"Großblütiges S. – A. grandiflora L.";"Z z"
"– A. montana L.";"Berg-S. – A. montana L.";"Z z"
"– M. graminifolia (ARD.) JAV.";"Grasblättrige M. – M. graminifolia (ARD.) JAV.";"Z v"
"– M. laricifolia (L.) SCHINZ et THELL.";"Nadelblättrige M. – M. laricifolia (L.) SCHINZ et THELL.";"Z z"
"– G. elegans M. BIEB.";"Ansehnliches G. – G. elegans M. BIEB.";"Z z"
"– G. paniculata L.Ähnlich: Pazifik-Schle";"Rispiges G., Schleierkraut – G. paniculata L.Ähnlich: Pazifik-Schle";"Z v"
"– G. aretioides BOISS.";"Polster-G. – G. aretioides BOISS.";"Z z"
"– G. cerastioides D. DON5* Alle Bl unges";"Hornkrautähnliches G. – G. cerastioides D. DON5* Alle Bl unges";"Z z"
"– G. tenuifolia M. BIEB.6* Bl höchstens ";"Schmalblättriges G. – G. tenuifolia M. BIEB.6* Bl höchstens ";"Z z"
"– G. petraea (BAUMG.) RCHB.";"Felsen-G. – G. petraea (BAUMG.) RCHB.";"Z z"
"– S. calabrica GUSS.";"Kalabrisches S. – S. calabrica GUSS.";"Z s"
"– S. bellidifolia SM.";"Gänseblümchenblättriges S. – S. bellidifolia SM.";"Z s"
"– S. lutea L.";"Gelbes S. – S. lutea L.";"Z z"
"– S. pumilio (L.) FENZL ex A. BRAUN4* Gr";"Niedriges S. – S. pumilio (L.) FENZL ex A. BRAUN4* Gr";"Z s"
"– S. officinalis L.";"Echtes S. – S. officinalis L.";"Z v"
"– S. haussknechtii SIMMLER6* KrBl ganzra";"Haussknecht-S. – S. haussknechtii SIMMLER6* KrBl ganzra";"Z z"
"– S. caespitosa DC.";"Rasenbildendes S. – S. caespitosa DC.";"Z z"
"– D. knappii (PANT.) ASCH. et KANITZ ex ";"Schwefel-N. – D. knappii (PANT.) ASCH. et KANITZ ex ";"Z v"
"– D. barbatus L.";"Bart-N. – D. barbatus L.";"Z v"
"– D. cruentus GRISEB.";"Blutrote N. – D. cruentus GRISEB.";"Z z"
"– D. glacialis HAENKE";"Gletscher-N. – D. glacialis HAENKE";"Z z"
"– D. freynii VANDAS: Bl steif, graugrün,";"Freyn-N. – D. freynii VANDAS: Bl steif, graugrün,";NA
"– D. alpinus L.Ähnlich: Glänzende N. – D";"Alpen-N. – D. alpinus L.Ähnlich: Glänzende N. – D";"Z s"
"– D. nardiformis JANKA: bis 10 cm hoch, ";"Borstgrasförmige N. – D. nardiformis JANKA: bis 10 cm hoch, ";"Z s"
"– D. × arvernensis ROUY et FOUC. (D. mon";"Auvergne-N. – D. × arvernensis ROUY et FOUC. (D. mon";"Z z"
"– D. monspessulanus L.15 (12) Wenigstens";"Montpellier-N. – D. monspessulanus L.15 (12) Wenigstens";"Z z"
"– D. petraeus WALDST. et KIT.";"Geröll-N. – D. petraeus WALDST. et KIT.";"Z z"
"– S. coeli-rosa (L.) GODR.";"Himmelsröschen – S. coeli-rosa (L.) GODR.";"Z z"
"– S. pendula L.";"Hängendes L. – S. pendula L.";"Z z"
"– S. elisabethae JANÄhnlich: Zawadzki-L.";"Großblütiges L. – S. elisabethae JANÄhnlich: Zawadzki-L.";"Z v"
"– S. uniflora ROTH";"Klippen-L. – S. uniflora ROTH";"Z s"
"– S. alpestris JACQ.Ähnlich: Vierzähnige";"Alpen-L., Alpen-Strahlensame – S. alpestris JACQ.Ähnlich: Vierzähnige";"Z v"
"– S. schafta S. G. GMEL. ex HOHEN.10 (1)";"Kaukasisches L. – S. schafta S. G. GMEL. ex HOHEN.10 (1)";"Z z"
"– S. suecica (LODD.) GREUTER et BURDET";"Alpen-Pechnelke – S. suecica (LODD.) GREUTER et BURDET";"Z z"
"– S. flos-jovis (L.) CLAIRV.12* BStand m";"Jupiter-Lichtnelke – S. flos-jovis (L.) CLAIRV.12* BStand m";"Z v"
"– S. chalcedonica (L.) E. KRAUSE13 (10) ";"Brennende Liebe – S. chalcedonica (L.) E. KRAUSE13 (10) ";"Z v"
"– S. banksia (MEERB.) MABB.13* B >4 cm b";"Großblütige Lichtnelke – S. banksia (MEERB.) MABB.13* B >4 cm b";"Z z"
"– S. coronaria (L.) CLAIRV.";"Vexiernelke, Kronen-Lichtnelke – S. coronaria (L.) CLAIRV.";"Z v"
"– P. argentea LAM.Ähnlich: Kapela-M. – P";"Silber-M. – P. argentea LAM.Ähnlich: Kapela-M. – P";"Z z"
"– P. capitata (L.) LAM.: BHüllBl wie bei";"Kopfige M. – P. capitata (L.) LAM.: BHüllBl wie bei";"Z z"
"– H. glabra L.Ähnlich: Behaartes B. – H.";"Kahles B. – H. glabra L.Ähnlich: Behaartes B. – H.";"Z z"
"– C. argentea L. var. argenteaKultur-Cel";"Silber-B. – C. argentea L. var. argenteaKultur-Cel";"Z z"
"– A. caudatus L. subsp. caudatus1* BStan";"Garten-F. – A. caudatus L. subsp. caudatus1* BStan";"Z z"
"– A. tricolor L. convar. tricolor2* BHül";"Dreifarben-A., Papageienkraut – A. tricolor L. convar. tricolor2* BHül";"Z z"
"– A. hypochondriacus L.";"Trauer-F. – A. hypochondriacus L.";"Z s"
"– A. cruentus L.";"Rispiger A. – A. cruentus L.";"Z z"
"– G. pulchella MART.";"Niedlicher K. – G. pulchella MART.";"Z s"
"– G. decumbens JACQ.2* Pfl aufrecht. Bl ";"Niederliegender K. – G. decumbens JACQ.2* Pfl aufrecht. Bl ";"Z s"
"– G. globosa L.";"Echter K. – G. globosa L.";"Z s"
"– I. herbstii HOOK. f.";"Brasilianische I., Brutblatt – I. herbstii HOOK. f.";"Z z"
"– I. lindenii VAN HOUTTE";"Ekuadorianische I., Linden-I. – I. lindenii VAN HOUTTE";"Z s"
"– B. vulgaris L. subsp. vulgaris1 Wurzel";"Rübe, Beta-Rübe, Mangold – B. vulgaris L. subsp. vulgaris1 Wurzel";"Z s"
", Mangold – B. vulgaris L. subsp. vulgar";"Rübe, Beta-Rübe , Mangold – B. vulgaris L. subsp. vulgar";NA
"– Ch. bonus-henricus L.1* Pfl  od. , Wur";"Guter Heinrich – Ch. bonus-henricus L.1* Pfl  od. , Wur";NA
"– Ch. botrys L.";"Klebriger G., Eichenblättriger G. – Ch. botrys L.";NA
"– Ch. ambrosioides L.4 (2) BKnäuel kugli";"Wurmsamen, Mexikanisches Teekraut, Jesuitentee – Ch. ambrosioides L.4 (2) BKnäuel kugli";NA
"– Ch. foliosum ASCH.5* Nur die unteren B";"Durchblätterter Erdbeerspinat – Ch. foliosum ASCH.5* Nur die unteren B";"N z"
"– Ch. capitatum (L.) ASCH.";"Kopfiger Erdbeerspinat – Ch. capitatum (L.) ASCH.";"Z s"
"– Ch. hybridum L.Bem.: Stink-G. – Ch. vu";"Stechapfelblättriger G. – Ch. hybridum L.Bem.: Stink-G. – Ch. vu";NA
"– Ch. quinoa WILLD.Ähnlich hochwüchsig: ";"Reis-G., Reismelde, Reisspinat, Quinoa – Ch. quinoa WILLD.Ähnlich hochwüchsig: ";NA
", Schlaf-M. – P. somniferum L.Schütt-M. ";"Garten-M. , Schlaf-M. – P. somniferum L.Schütt-M. ";NA
"– B. scoparia (L.) A. J. SCOTT";"Besen-D., Sommerzypresse – B. scoparia (L.) A. J. SCOTT";NA
"– L. brachycalyx ENGELM. ex A. GRAY";"Kurzkelchige B. – L. brachycalyx ENGELM. ex A. GRAY";"Z s"
"– L. nevadensis (A. GRAY) B. L. ROB.3* B";"Nevada-B. – L. nevadensis (A. GRAY) B. L. ROB.3* B";"Z s"
"– L. rediviva PURSH4 (1*) Sa ohne ÖlKörp";"Auferstehende B. – L. rediviva PURSH4 (1*) Sa ohne ÖlKörp";"Z s"
"– L. cotyledon (S. WATSON) B. L. ROB.Var";"Gewöhnliche B. – L. cotyledon (S. WATSON) B. L. ROB.Var";"Z z"
"– L. columbiana (HOWELL ex A. GRAY) B. L";"Columbia-B. – L. columbiana (HOWELL ex A. GRAY) B. L";"Z z"
"– P. grandiflora HOOK.Ähnlich: Flachblät";"Portulakröschen, Großblütiger P. – P. grandiflora HOOK.Ähnlich: Flachblät";"Z s"
"– P. oleracea L.";"Gemüse-P. – P. oleracea L.";"Z z"
"– C. grandiflora LINDL.";"Großblütige C. – C. grandiflora LINDL.";"Z s"
"– C. umbellata (RUIZ et PAV.) DC. ";"Schirm-C., Doldenblütige C. – C. umbellata (RUIZ et PAV.) DC. ";"Z s"
"– C. sibirica L.";"Sibirische C. – C. sibirica L.";"N s"
"– C. virginica L.  ";"Virginische C. – C. virginica L.  ";"Z s"
"– E. douglasii BENTH.";"Douglas-W. – E. douglasii BENTH.";"Z s"
"– E. caespitosum NUTT.";"Rasenbildender W. – E. caespitosum NUTT.";"Z s"
"– E. ovalifolium NUTT.";"Eiblättriger W. – E. ovalifolium NUTT.";"Z s"
"– E. kennedyi PORTER";"Kennedy-W. – E. kennedyi PORTER";NA
"– E. niveum DOUGLAS ex BENTH.";"Schnee-W. – E. niveum DOUGLAS ex BENTH.";"Z s"
"– E. fasciculatum BENTH.";"Büschelblättriger W. – E. fasciculatum BENTH.";"Z s"
"– E. flavum NUTT.";"Goldner W. – E. flavum NUTT.";"Z s"
"– E. compositum DOUGLAS ex BENTH.";"Korbblütiger W. – E. compositum DOUGLAS ex BENTH.";"Z s"
"– E. umbellatum TORR.";"Flaumiger W., Schwefelblütiger W. – E. umbellatum TORR.";"Z s"
"– Rh. alexandrae BATALINÄhnlich: Edel-Rh";"Königs-Rh. – Rh. alexandrae BATALINÄhnlich: Edel-Rh";"Z s"
"– Rh. rhabarbarum L.Bem.: Der Verzehr gr";"Gewöhnlicher Rh., Wellblatt-Rh. – Rh. rhabarbarum L.Bem.: Der Verzehr gr";"Z s"
"– Rh. officinale BAILL.";"Gebräuchlicher Rh., Medizinal-Rh. – Rh. officinale BAILL.";"Z s"
"– Rh. officinale BAILL.";"Medizinal-Rh. – Rh. officinale BAILL.";NA
"– F. baldschuanica (REGEL) HOLUB1* Rhizo";"Schling-F., Silberregen, „Architektentrost“ – F. baldschuanica (REGEL) HOLUB1* Rhizo";"Z s"
"– F. japonica (HOUTT.) RONSE DECR.2* BlS";"Japanischer F. – F. japonica (HOUTT.) RONSE DECR.2* BlS";"Z z"
"– F. sachalinensis (F. SCHMIDT) RONSE DE";"Sachalin-F. – F. sachalinensis (F. SCHMIDT) RONSE DE";"Z v"
"– B. affinis (D. DON) GREENE2* Bl 1–2,5 ";"Teppich-W., Schnecken-W. – B. affinis (D. DON) GREENE2* Bl 1–2,5 ";"Z z"
"– B. vacciniifolia (WALL. ex MEISN.) GRE";"Heidelbeerblättriger W. – B. vacciniifolia (WALL. ex MEISN.) GRE";"Z s"
"– B. vivipara (L.) DELARBRE3* Scheinähre";"Knöllchen-W. – B. vivipara (L.) DELARBRE3* Scheinähre";"Z s"
"– B. tenuicaulis (BISSET et S. MOORE) PE";"Dünnstängliger W. – B. tenuicaulis (BISSET et S. MOORE) PE";"Z s"
"– B. millettii LÉV.";"Nepal-W. – B. millettii LÉV.";"Z s"
"– B. officinalis DELARBRE6* Stg verzweig";"Schlangen-W. – B. officinalis DELARBRE6* Stg verzweig";NA
"– B. amplexicaulis (D. DON) GREENE";"Kerzen-W. – B. amplexicaulis (D. DON) GREENE";"Z z"
"– A. molle (D. DON) HARA";"Weicher B. – A. molle (D. DON) HARA";"Z s"
"– A. polystachyum (WALL. ex MEISN.) SMAL";"Himalaja-B. – A. polystachyum (WALL. ex MEISN.) SMAL";"Z s"
"– A. campanulatum (HOOK. f.) HARA";"Glockenblütiger B. – A. campanulatum (HOOK. f.) HARA";"Z s"
"– P. amphibia (L.) DELARBRE";"Wasser-K. – P. amphibia (L.) DELARBRE";"Z z"
"– P. orientalis (L.) VILM.";"Orient-K. – P. orientalis (L.) VILM.";"Z s"
"– P. capitata (BUCH.-HAM. ex D. DON) H. ";"Kopf-K. – P. capitata (BUCH.-HAM. ex D. DON) H. ";"Z z"
"– F. esculentum MOENCH";"Echter B., Heide(n)korn – F. esculentum MOENCH";"N s"
"– M. axillaris (HOOK. f.) WALP.Ähnlich: ";"Achselblütige M. – M. axillaris (HOOK. f.) WALP.Ähnlich: ";"Z s"
"– P. auriculata LAM.Ähnlich: Europäische";"Kapländische B. – P. auriculata LAM.Ähnlich: Europäische";"Z s"
"– C. plumbaginoides BUNGE";"Kriechende H. – C. plumbaginoides BUNGE";"Z s"
"– A. venustum BOISS.Ähnlich: Nadelblättr";"Anmutiges I. – A. venustum BOISS.Ähnlich: Nadelblättr";"Z s"
"– A. ulicinum (WILLD. ex SCHULTES) BOISS";"Kurzschäftiges I. – A. ulicinum (WILLD. ex SCHULTES) BOISS";"Z s"
"– A. glumaceum (JAUB. et SPACH) BOISS.Äh";"Gemeines I. – A. glumaceum (JAUB. et SPACH) BOISS.Äh";"Z z"
"– A. welwitschii BOISS.";"Welwitsch-A. – A. welwitschii BOISS.";"Z s"
"– A. pungens (LINK) HOFFMANNS. et LINK3 ";"Stechende G. – A. pungens (LINK) HOFFMANNS. et LINK3 ";"Z s"
"– A. pseudarmeria (MURRAY) MANSF.3* Bl <";"Breitblättrige A. – A. pseudarmeria (MURRAY) MANSF.3* Bl <";"Z s"
"– A. girardii (BERNIS) LITARD.4* Pfl nur";"Girard-A. – A. girardii (BERNIS) LITARD.4* Pfl nur";"Z s"
"– A. juniperifolia (VAHL) HOFFMANNS. et ";"Wacholderblättrige G. – A. juniperifolia (VAHL) HOFFMANNS. et ";"Z s"
"– A. maritima (MILL.) WILLD.Ähnlich: Alp";"Gewöhnliche G. – A. maritima (MILL.) WILLD.Ähnlich: Alp";NA
"– L. bonduellei (T. LESTIB.) KUNTZE2* KR";"Nordafrikanischer S. – L. bonduellei (T. LESTIB.) KUNTZE2* KR";"Z s"
"– L. sinuatum (L.) MILL.";"Geflügelter S. – L. sinuatum (L.) MILL.";"Z s"
"– L. aureum (L.) MILL.3* Kr andersfarbig";"Goldgelber S. – L. aureum (L.) MILL.3* Kr andersfarbig";"Z s"
"– L. bellidifolium (GOUAN) DUMORT.5* Tra";"Gänseblümchenblättriger S. – L. bellidifolium (GOUAN) DUMORT.5* Tra";"Z s"
"– L. minutum (L.) FOURR.";"Kleiner S. – L. minutum (L.) FOURR.";"Z s"
"– L. latifolium (SM.) KUNTZE6* BStg u. B";"Breitblättriger S. – L. latifolium (SM.) KUNTZE6* BStg u. B";"Z z"
"– L. vulgare MILL.";"Gewöhnlicher S. – L. vulgare MILL.";"Z z"
"– L. gmelinii (WILLD.) KUNTZE";"Steppenschleier-S. – L. gmelinii (WILLD.) KUNTZE";"Z z"
"– G. tataricum (L.) BOISS.";"Tatarisches G. – G. tataricum (L.) BOISS.";"Z v"
"– P. suworowii (REGEL) ROSHKOVA";"Suworow-Ä. – P. suworowii (REGEL) ROSHKOVA";"Z z"
"– P. suffruticosa ANDREWS";"Strauch-P. – P. suffruticosa ANDREWS";"Z z"
"– P. lutea FRANCH.Ähnlich: Potanin-P. – ";"Gelbe P. – P. lutea FRANCH.Ähnlich: Potanin-P. – ";"Z s"
"– P. delavayi FRANCH.";"Delavay-P. – P. delavayi FRANCH.";"Z s"
"– P. emodi WALL. ex ROYLE4* FrBl 2–8  . ";"Himalaja-P. – P. emodi WALL. ex ROYLE4* FrBl 2–8  . ";NA
"– P. tenuifolia L.";"Feinblättrige P. – P. tenuifolia L.";NA
"– P. mlokosewitschii LOMAKIN";"Mlokosewitsch-P. – P. mlokosewitschii LOMAKIN";"Z s"
"– P. lactiflora PALL.";"Chinesische P., Milchweiße P. – P. lactiflora PALL.";"Z s"
"– P. veitchii LYNCH";"Veitch-P. – P. veitchii LYNCH";"Z s"
"– P. mascula (L.) MILL.Ähnlich: Ostasiat";"Korallen-P. – P. mascula (L.) MILL.Ähnlich: Ostasiat";"Z s"
"– P. officinalis L. ";"Garten-P., Stauden-P. – P. officinalis L. ";"Z s"
"– P. anomala L.";"Abweichende P. – P. anomala L.";"Z s"
"– P. peregrina MILL.";"Fremde P. – P. peregrina MILL.";"Z s"
"– H. coris L.Ähnlich: Krähenbeerblättrig";"Quirlblättriges H. – H. coris L.Ähnlich: Krähenbeerblättrig";"Z s"
"– H. androsaemum L.3* Griffel 5  . . . .";"Mannsblut-H. – H. androsaemum L.3* Griffel 5  . . . .";NA
"– H. kalmianum L.";"Kalm-H. – H. kalmianum L.";NA
"– H. reptans HOOK. f. et THOMSON ex DYER";"Sikkim-H. – H. reptans HOOK. f. et THOMSON ex DYER";"Z s"
"– H. calycinum L.Ähnlich: Bastard-H. – H";"Immergrünes H., Großblütiges H. – H. calycinum L.Ähnlich: Bastard-H. – H";"Z z"
"– H. orientale L.";"Orientalisches H. – H. orientale L.";"Z z"
"– H. annulatum MORIS8* Stg kahl, aufrech";"Balkan-H. – H. annulatum MORIS8* Stg kahl, aufrech";NA
"– H. cerastoides (SPACH) N. ROBSON";"Hornkrautähnliches H. – H. cerastoides (SPACH) N. ROBSON";"Z s"
"– H. olympicum L.";"Olymp-H. – H. olympicum L.";"Z z"
"– H. perforatum L.12 (10) Stg 4kantig, m";"Tüpfel-H. – H. perforatum L.12 (10) Stg 4kantig, m";"N s"
"– H. ascyron L.12* Stg 4flüglig, ± hohl.";"Großes H. – H. ascyron L.12* Stg 4flüglig, ± hohl.";NA
"– H. tetrapterum L.";"Flügel-H. – H. tetrapterum L.";"Z z"
"– C. laurifolius L.";"Lorbeerblättrige Z. – C. laurifolius L.";"Z s"
"– T. guttata (L.) FOURR.";"Geflecktes S. – T. guttata (L.) FOURR.";"Z s"
